#
# Run File created 12/08/2015 5:03:01 PM
#

#
# 
#

# Ch1_Incident WP                     Moving          14.671(x - zero)
# Ch2_Phase WP                        Moving          17.273(x - zero)
# Ch3_OWC WP                          Moving          22.575(x - zero)
# Ch4_OWC Pressure                    Moving          41.623(x - zero)

TITLE="Calibration"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Calibration" F=POINT 
0.000000 -0.201395 -0.185819 -0.129875 -0.086480 
1.000000 14.670759 17.272866 22.574672 41.623146 

TITLE="Data"
VARIABLES="Time" "Ch1_Incident WP" "Ch2_Phase WP" "Ch3_OWC WP" "Ch4_OWC Pressure" 
ZONE T="Data" F=POINT 
0.585000 -0.191950 -0.187760 -0.129102 -0.080758 
0.590000 -0.187438 -0.185504 -0.127491 -0.092361 
0.595000 -0.190983 -0.185826 -0.125235 -0.086237 
0.600000 -0.187116 -0.187438 -0.126846 -0.086559 
0.605000 -0.188082 -0.187760 -0.125557 -0.095906 
0.610000 -0.185504 -0.187438 -0.125557 -0.090427 
0.615000 -0.184859 -0.184215 -0.124913 -0.076568 
0.620000 -0.186793 -0.189372 -0.126846 -0.083014 
0.625000 -0.186149 -0.186471 -0.124913 -0.092361 
0.630000 -0.187760 -0.189049 -0.125557 -0.086237 
0.635000 -0.185504 -0.183893 -0.124268 -0.094294 
0.640000 -0.188405 -0.188405 -0.125879 -0.081080 
0.645000 -0.184215 -0.186793 -0.126524 -0.096873 
0.650000 -0.187760 -0.189372 -0.125879 -0.081403 
0.655000 -0.184859 -0.186793 -0.125879 -0.095906 
0.660000 -0.186793 -0.189694 -0.124268 -0.105897 
0.665000 -0.188405 -0.188082 -0.128135 -0.084303 
0.670000 -0.187760 -0.189372 -0.124913 -0.093972 
0.675000 -0.187760 -0.189372 -0.126202 -0.092683 
0.680000 -0.188405 -0.187760 -0.126202 -0.094294 
0.685000 -0.190983 -0.190338 -0.127813 -0.083014 
0.690000 -0.184859 -0.187438 -0.125235 -0.094617 
0.695000 -0.189694 -0.188727 -0.124913 -0.083981 
0.700000 -0.187438 -0.188727 -0.124590 -0.090105 
0.705000 -0.190983 -0.190338 -0.128780 -0.088171 
0.710000 -0.186793 -0.187438 -0.126524 -0.090105 
0.715000 -0.187116 -0.188405 -0.124913 -0.090105 
0.720000 -0.187760 -0.189372 -0.124913 -0.077535 
0.725000 -0.189049 -0.191305 -0.124268 -0.082370 
0.730000 -0.188082 -0.190016 -0.125235 -0.090427 
0.735000 -0.184859 -0.184859 -0.122334 -0.083336 
0.740000 -0.189049 -0.190338 -0.125557 -0.083336 
0.745000 -0.188405 -0.189049 -0.125557 -0.090749 
0.750000 -0.189694 -0.192917 -0.124913 -0.073668 
0.755000 -0.185504 -0.190016 -0.122334 -0.076568 
0.760000 -0.190016 -0.192595 -0.125557 -0.088815 
0.765000 -0.189049 -0.192595 -0.124590 -0.090427 
0.770000 -0.190338 -0.192595 -0.124590 -0.078502 
0.775000 -0.188082 -0.189694 -0.125235 -0.085915 
0.780000 -0.190016 -0.192917 -0.124913 -0.087204 
0.785000 -0.189694 -0.194206 -0.123946 -0.097840 
0.790000 -0.189694 -0.190661 -0.125879 -0.071412 
0.795000 -0.189694 -0.191950 -0.124268 -0.085592 
0.800000 -0.187760 -0.190661 -0.122979 -0.082692 
0.805000 -0.190016 -0.192595 -0.124590 -0.093328 
0.810000 -0.186471 -0.191950 -0.122012 -0.094939 
0.815000 -0.188082 -0.192595 -0.124268 -0.089782 
0.820000 -0.185182 -0.191628 -0.122979 -0.082692 
0.825000 -0.192917 -0.194206 -0.125235 -0.099451 
0.830000 -0.188405 -0.192272 -0.121690 -0.086237 
0.835000 -0.191305 -0.192917 -0.122012 -0.092683 
0.840000 -0.191950 -0.192595 -0.123623 -0.094939 
0.845000 -0.191628 -0.194206 -0.124913 -0.079147 
0.850000 -0.186471 -0.192272 -0.123301 -0.106542 
0.855000 -0.188727 -0.193239 -0.121045 -0.083014 
0.860000 -0.189694 -0.193561 -0.124913 -0.080758 
0.865000 -0.192595 -0.193884 -0.123623 -0.079791 
0.870000 -0.190338 -0.192595 -0.123301 -0.075279 
0.875000 -0.188082 -0.191628 -0.122979 -0.087204 
0.880000 -0.190338 -0.194851 -0.124590 -0.084948 
0.885000 -0.192272 -0.195173 -0.124913 -0.094939 
